# 10k,20k,40k,60k
8.661611390977329572e-01,9.000033467285541988e-01,8.640278079601866335e-01,8.476514912125769907e-01
8.583661329592399136e-01,8.441241322270081060e-01,8.618438168020079448e-01,8.711896868382853487e-01
8.714521228881406678e-01,8.532101132959504231e-01,8.425189813277756956e-01,8.508557575395524486e-01
8.610975446062453242e-01,8.239272339617723651e-01,8.560703745377056251e-01,8.672786020404018581e-01
8.613579076620015984e-01,8.504830358413717484e-01,8.676968588158873175e-01,8.594826438965436077e-01
8.715905841532023413e-01,8.394765016290807180e-01,8.608849454040415905e-01,8.383730856900146744e-01
8.418275871154532464e-01,8.379144444306774187e-01,8.557619981764341688e-01,8.721697300204148684e-01
8.556885575486669060e-01,8.547591780497665326e-01,8.455369362408710066e-01,8.673596332797004482e-01
8.456879116455594536e-01,8.471704240040254241e-01,8.775244094841399001e-01,8.653773067111398820e-01
8.591843714516981256e-01,8.569434206157974243e-01,8.584106372427077192e-01,8.578922965729254280e-01
